Dominica,2022-01-09,101
European Union,2022-01-21,2639676
Finland,2022-01-26,48479
Finland,2022-01-19,26015
Syria,2022-01-09,16376
Cape Verde,2022-01-13,2607
Peru,2022-02-13,97908
Guatemala,2022-01-25,71692
Chile,2022-02-11,60582
Africa,2022-01-19,1845375
India,2022-01-24,6793794
Iraq,2022-01-21,49105
Pakistan,2022-01-19,661267
Russia,2022-01-29,252510
Greece,2022-01-20,68751
Dominican Republic,2022-02-11,18409
Turks and Caicos Islands,2022-01-04,122
Cuba,2022-01-11,150022
South Korea,2022-01-20,352678
Macao,2022-01-08,1748
South America,2022-02-02,2833576
Pakistan,2022-02-16,1897034
Tonga,2022-01-16,111
Armenia,2022-01-09,4895
Guyana,2022-01-16,1978
Montenegro,2022-01-03,1155
British Virgin Islands,2022-01-01,11
Curacao,2022-01-21,509
Bermuda,2022-01-15,118
Laos,2022-01-05,35334
Italy,2022-02-02,452161
Austria,2022-01-28,27918
Afghanistan,2022-01-15,12023
Luxembourg,2022-02-02,2749
Turkey,2022-02-02,156661
Democratic Republic of Congo,2022-01-13,5760
Vietnam,2022-02-11,512711
Poland,2022-01-10,175221
Romania,2022-01-01,14961
Lebanon,2022-01-27,12152
Democratic Republic of Congo,2022-02-08,5476
Laos,2022-02-05,48048
Finland,2022-01-28,45037
Macao,2022-02-09,1265
Ethiopia,2022-02-20,938536
Sudan,2022-01-09,8915
Indonesia,2022-01-03,1528279
Jamaica,2022-01-09,3811
Libya,2022-01-05,9635
Curacao,2022-01-10,1660
Afghanistan,2022-01-06,17604
Nepal,2022-01-31,282557
Algeria,2022-01-05,22589
Slovenia,2022-01-16,8963
Czechia,2022-01-26,35548
Georgia,2022-02-12,3504
Botswana,2022-02-17,
Latvia,2022-01-31,5254
Georgia,2022-01-09,5731
Dominican Republic,2022-01-11,15966
Mauritania,2022-02-02,4508
Australia,2022-02-15,157389
Serbia,2022-01-04,7562
Serbia,2022-02-03,3561
Turkey,2022-02-15,146135
Cape Verde,2022-01-27,2853
Antigua and Barbuda,2022-02-04,18
Jordan,2022-02-04,14926
Georgia,2022-01-04,4656
France,2022-02-09,202986
Netherlands,2022-01-27,49126
Lithuania,2022-02-08,2033
Finland,2022-02-18,9275
Isle of Man,2022-02-02,114
Ecuador,2022-02-06,58082
Malaysia,2022-02-07,74761
Scotland,2022-01-06,15943
Greenland,2022-01-27,21
Panama,2022-02-20,12191
Bhutan,2022-01-17,4968
Taiwan,2022-02-17,269415
Central African Republic,2022-02-17,
Ecuador,2022-01-11,102934
Comoros,2022-01-16,609
Brazil,2022-01-25,1117509
Northern Ireland,2022-01-27,2888
Vanuatu,2022-01-18,736
Cape Verde,2022-01-24,2853
Ghana,2022-01-26,84487
Slovakia,2022-01-08,24942
Botswana,2022-01-26,2733
Kosovo,2022-01-10,2690
Oman,2022-01-17,11708
Liberia,2022-01-21,1580
Qatar,2022-01-14,18480
Solomon Islands,2022-02-01,992
New Zealand,2022-01-30,58432
Kyrgyzstan,2022-01-19,8917
South America,2022-01-28,2847758
World,2022-01-31,22956951
Saint Kitts and Nevis,2022-01-09,84
Oceania,2022-02-04,236843
Greece,2022-02-11,35183
Croatia,2022-01-07,12168
Tunisia,2022-01-14,17269
Africa,2022-02-19,1096585
Portugal,2022-01-09,68237
Curacao,2022-01-17,613
Libya,2022-01-04,8911
Bolivia,2022-02-12,29535
Togo,2022-02-17,
South Sudan,2022-02-01,3398
Djibouti,2022-01-29,593
Hong Kong,2022-01-19,38241
New Caledonia,2022-02-10,120
South Sudan,2022-01-01,810
Upper middle income,2022-02-16,9809773
Egypt,2022-02-05,298194
Italy,2022-01-19,627313
Ethiopia,2022-02-01,344
Cuba,2022-02-07,41320
Europe,2022-02-20,1204102
Mozambique,2022-01-08,188521
Slovakia,2022-02-08,4056
Northern Ireland,2022-01-16,6185
Iraq,2022-02-09,40689
Qatar,2022-01-02,8311
Russia,2022-01-07,112537
Malawi,2022-02-04,1722
Africa,2022-02-02,1276222
Argentina,2022-01-30,320174
Colombia,2022-01-08,244682
Ethiopia,2022-01-13,401
Morocco,2022-02-09,54247
Andorra,2022-01-08,865
Algeria,2022-02-03,16222
Nepal,2022-01-30,272533
Maldives,2022-02-13,2541
Bermuda,2022-01-20,125
France,2022-02-14,185095
Senegal,2022-01-13,4472
Liberia,2022-01-08,10161
Japan,2022-01-21,161301
New Zealand,2022-02-02,44625
Panama,2022-02-09,14505
Germany,2022-01-09,590582
Cote d'Ivoire,2022-01-15,14152
Italy,2022-01-22,576018
Italy,2022-01-18,641968
Gibraltar,2022-01-26,110
Brunei,2022-01-05,4318
Burundi,2022-01-19,59
Moldova,2022-02-14,5897
Kosovo,2022-02-07,2320
Guernsey,2022-01-14,220
